*******************************************************************************
Ephemeris / WWW_USER Mon Sep 26 22:38:00 2016 Pasadena, USA      / Horizons    
*******************************************************************************
Target body name: L2 (392)                        {source: L2_de431}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2018-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2022-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}    
Output units    : KM-S                                                         
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0                                                 
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch            
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458154.500000000, A.D. 2018-Feb-05 00:00:00.0000, -1.069327373412605E+08,  9.517098859823167E+07,  4.125737550854018E+07, -2.143930547750855E+01, -1.991835804106343E+01, -8.634575112862359E+00,
2458155.500000000, A.D. 2018-Feb-06 00:00:00.0000, -1.087684902677258E+08,  9.343544205780345E+07,  4.050501883464474E+07, -2.105395223481242E+01, -2.025530694034383E+01, -8.780644967282477E+00,
2458156.500000000, A.D. 2018-Feb-07 00:00:00.0000, -1.105706752112434E+08,  9.167105955297314E+07,  3.974016155344594E+07, -2.066229098850504E+01, -2.058584199052029E+01, -8.923934421964288E+00,
2458157.500000000, A.D. 2018-Feb-08 00:00:00.0000, -1.123387528534153E+08,  8.987839957150598E+07,  3.896304576906210E+07, -2.026445378006242E+01, -2.090986334736047E+01, -9.064400194249304E+00,
2458158.500000000, A.D. 2018-Feb-09 00:00:00.0000, -1.140721953661054E+08,  8.805802912157978E+07,  3.817391727924702E+07, -1.986057453620989E+01, -2.122727362599278E+01, -9.202000067127479E+00,
2458159.500000000, A.D. 2018-Feb-10 00:00:00.0000, -1.157704865717811E+08,  8.621052351806873E+07,  3.737302548278601E+07, -1.945078901018221E+01, -2.153797792926775E+01, -9.336692901540427E+00,
2458160.500000000, A.D. 2018-Feb-11 00:00:00.0000, -1.174331220987519E+08,  8.433646616643192E+07,  3.656062328584944E+07, -1.903523472196557E+01, -2.184188387449110E+01, -9.468438648061536E+00,
2458161.500000000, A.D. 2018-Feb-12 00:00:00.0000, -1.190596095311878E+08,  8.243644834436806E+07,  3.573696700736668E+07, -1.861405089748993E+01, -2.213890161876760E+01, -9.597198358031415E+00,
2458162.500000000, A.D. 2018-Feb-13 00:00:00.0000, -1.206494685538540E+08,  8.051106898131558E+07,  3.490231628345323E+07, -1.818737840685126E+01, -2.242894388317482E+01, -9.722934194205481E+00,
2458163.500000000, A.D. 2018-Feb-14 00:00:00.0000, -1.222022310914549E+08,  7.856093443593110E+07,  3.405693397094474E+07, -1.775535970151436E+01, -2.271192597569676E+01, -9.845609440889177E+00,
2458164.500000000, A.D. 2018-Feb-15 00:00:00.0000, -1.237174414425158E+08,  7.658665827162601E+07,  3.320108605007359E+07, -1.731813875062355E+01, -2.298776581314923E+01, -9.965188513617331E+00,
2458165.500000000, A.D. 2018-Feb-16 00:00:00.0000, -1.251946564077227E+08,  7.458886103025764E+07,  3.233504152633164E+07, -1.687586097653152E+01, -2.325638394212558E+01, -1.008163696837382E+01,
2458166.500000000, A.D. 2018-Feb-17 00:00:00.0000, -1.266334454126759E+08,  7.256817000403698E+07,  3.145907233155030E+07, -1.642867318973970E+01, -2.351770355902195E+01, -1.019492151034942E+01,
2458167.500000000, A.D. 2018-Feb-18 00:00:00.0000, -1.280333906249974E+08,  7.052521900575715E+07,  3.057345322424933E+07, -1.597672352352348E+01, -2.377165052912694E+01, -1.030501000221854E+01,
2458168.500000000, A.D. 2018-Feb-19 00:00:00.0000, -1.293940870657866E+08,  6.846064813741909E+07,  2.967846168929395E+07, -1.552016136857127E+01, -2.401815340469474E+01, -1.041187147189404E+01,
2458169.500000000, A.D. 2018-Feb-20 00:00:00.0000, -1.307151427154519E+08,  6.637510355733014E+07,  2.877437783690060E+07, -1.505913730798533E+01, -2.425714344185139E+01, -1.051547611969925E+01,
2458170.500000000, A.D. 2018-Feb-21 00:00:00.0000, -1.319961786139387E+08,  6.426923724582395E+07,  2.786148430106075E+07, -1.459380305296954E+01, -2.448855461610201E+01, -1.061579532488461E+01,
2458171.500000000, A.D. 2018-Feb-22 00:00:00.0000, -1.332368289554623E+08,  6.214370676967213E+07,  2.694006613741637E+07, -1.412431137941781E+01, -2.471232363619322E+01, -1.071280165141545E+01,
2458172.500000000, A.D. 2018-Feb-23 00:00:00.0000, -1.344367411777739E+08,  5.999917504543143E+07,  2.601041072069215E+07, -1.365081606551630E+01, -2.492838995606534E+01, -1.080646885296168E+01,
2458173.500000000, A.D. 2018-Feb-24 00:00:00.0000, -1.355955760461073E+08,  5.783631010179554E+07,  2.507280764170992E+07, -1.317347183024236E+01, -2.513669578469981E+01, -1.089677187704708E+01,
2458174.500000000, A.D. 2018-Feb-25 00:00:00.0000, -1.367130077318224E+08,  5.565578484122413E+07,  2.412754860409568E+07, -1.269243427251168E+01, -2.533718609373825E+01, -1.098368686833961E+01,
2458175.500000000, A.D. 2018-Feb-26 00:00:00.0000, -1.377887238858052E+08,  5.345827680100998E+07,  2.317492732073896E+07, -1.220785981051254E+01, -2.552980862289460E+01, -1.106719117110527E+01,
2458176.500000000, A.D. 2018-Feb-27 00:00:00.0000, -1.388224257066269E+08,  5.124446791394097E+07,  2.221523941006225E+07, -1.171990562066268E+01, -2.571451388334567E+01, -1.114726333089566E+01,
2458177.500000000, A.D. 2018-Feb-28 00:00:00.0000, -1.398138280033750E+08,  4.901504426877986E+07,  2.124878229218948E+07, -1.122872957565202E+01, -2.589125515946839E+01, -1.122388309558093E+01,
2458178.500000000, A.D. 2018-Mar-01 00:00:00.0000, -1.407626592530918E+08,  4.677069587062168E+07,  2.027585508503713E+07, -1.073449018125971E+01, -2.605998850940524E+01, -1.129703141586812E+01,
2458179.500000000, A.D. 2018-Mar-02 00:00:00.0000, -1.416686616526977E+08,  4.451211640124101E+07,  1.929675850038034E+07, -1.023734651192814E+01, -2.622067276499537E+01, -1.136669044545831E+01,
2458180.500000000, A.D. 2018-Mar-03 00:00:00.0000, -1.425315911653089E+08,  4.224000297946758E+07,  1.831179473992126E+07, -9.737458145711820E+00, -2.637326953132006E+01, -1.143284354089132E+01,
2458181.500000000, A.D. 2018-Mar-04 00:00:00.0000, -1.433512175609393E+08,  3.995505592161351E+07,  1.732126739138309E+07, -9.234985099402829E+00, -2.651774318601144E+01, -1.149547526112899E+01,
