*******************************************************************************
Ephemeris / WWW_USER Wed May  2 21:31:34 2018 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: jwst_2_out}
Center body name: Sun (10)                        {source: DE431mx}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2020-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Jan-01 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0 x 696000.0 x 696000.0 k{Equator, meridian, pole}
Output units    : KM-S
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF/J2000.0
Coordinate systm: Earth Mean Equator and Equinox of Reference Epoch
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2458900.500000000, A.D. 2020-Feb-21 00:00:00.0000, -1.315094454094866E+08,  6.468560715183089E+07,  2.803902794425667E+07, -1.480083429038054E+01, -2.439596039837386E+01, -1.069564404136070E+01,
2458901.500000000, A.D. 2020-Feb-22 00:00:00.0000, -1.327678882538003E+08,  6.256823793149342E+07,  2.711078478146278E+07, -1.432897116815627E+01, -2.461557739147470E+01, -1.079022965762935E+01,
2458902.500000000, A.D. 2020-Feb-23 00:00:00.0000, -1.339854086250304E+08,  6.043224790499234E+07,  2.617448471232207E+07, -1.385367353798148E+01, -2.482693644861008E+01, -1.088200494606811E+01,
2458903.500000000, A.D. 2020-Feb-24 00:00:00.0000, -1.351616978322384E+08,  5.827831012471440E+07,  2.523043219477599E+07, -1.337491413547055E+01, -2.503082241071013E+01, -1.097034753261351E+01,
2458904.500000000, A.D. 2020-Feb-25 00:00:00.0000, -1.362964578860630E+08,  5.610709889847454E+07,  2.427893147531923E+07, -1.289260913466472E+01, -2.522753938521019E+01, -1.105449322046194E+01,
2458905.500000000, A.D. 2020-Feb-26 00:00:00.0000, -1.373893990720267E+08,  5.391928949890435E+07,  2.332028612550525E+07, -1.240678975518686E+01, -2.541546072628608E+01, -1.113507215672785E+01,
2458906.500000000, A.D. 2020-Feb-27 00:00:00.0000, -1.384402526216518E+08,  5.171556219459876E+07,  2.235480257713270E+07, -1.191778345326126E+01, -2.559527135487306E+01, -1.121284749207864E+01,
2458907.500000000, A.D. 2020-Feb-28 00:00:00.0000, -1.394487606646205E+08,  4.949659961558120E+07,  2.138278756570829E+07, -1.142663169316394E+01, -2.576789043546757E+01, -1.128719557307216E+01,
2458908.500000000, A.D. 2020-Feb-29 00:00:00.0000, -1.404146741615787E+08,  4.726308718370000E+07,  2.040454802799729E+07, -1.093217414149442E+01, -2.593233740824970E+01, -1.135731406286165E+01,
2458909.500000000, A.D. 2020-Mar-01 00:00:00.0000, -1.413377640233018E+08,  4.501571158069389E+07,  1.942039203301668E+07, -1.043531660700432E+01, -2.608882543880618E+01, -1.142398647019855E+01,
