*******************************************************************************
Ephemeris / WWW_USER Fri May 19 11:14:11 2023 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: James Webb Space Telescope (spacecraft) (-170) {source: JWST_merged}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2021-Dec-26 00:00:00.0000 TDB
Stop  time      : A.D. 2024-Oct-03 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 696000.0, 696000.0, 696000.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : LT CORRECTED cartesian states
Output format   : 2 (position and velocity)
Reference frame : ICRF
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2459621.500000000, A.D. 2022-Feb-11 00:00:00.0000, -1.167874456810679E+08,  8.489070538324718E+07,  3.649797454625029E+07, -1.904694816013036E+01, -2.171036835682986E+01, -9.264701086711328E+00,
2459622.500000000, A.D. 2022-Feb-12 00:00:00.0000, -1.184152386091302E+08,  8.300168546670860E+07,  3.569194375620700E+07, -1.863254519836626E+01, -2.201585479338794E+01, -9.392975818614982E+00,
2459623.500000000, A.D. 2022-Feb-13 00:00:00.0000, -1.200069866172644E+08,  8.108656626748921E+07,  3.487495016512294E+07, -1.821259626382042E+01, -2.231450586378563E+01, -9.518465102248427E+00,
2459624.500000000, A.D. 2022-Feb-14 00:00:00.0000, -1.215622162110871E+08,  7.914594195327918E+07,  3.404723576616738E+07, -1.778723418695191E+01, -2.260623737055272E+01, -9.641136412253603E+00,
2459625.500000000, A.D. 2022-Feb-15 00:00:00.0000, -1.230804659710664E+08,  7.718041393296349E+07,  3.320904565523818E+07, -1.735659226451138E+01, -2.289096200344032E+01, -9.760956616221012E+00,
2459626.500000000, A.D. 2022-Feb-16 00:00:00.0000, -1.245612843955179E+08,  7.519059177503459E+07,  3.236062716288222E+07, -1.692079920940997E+01, -2.316859400284154E+01, -9.877897708311295E+00,
2459627.500000000, A.D. 2022-Feb-17 00:00:00.0000, -1.260042330608571E+08,  7.317709157787916E+07,  3.150223063367243E+07, -1.648008081961066E+01, -2.343906408084853E+01, -9.991916962638905E+00,
2459628.500000000, A.D. 2022-Feb-18 00:00:00.0000, -1.274088904988512E+08,  7.114053575764373E+07,  3.063410967049691E+07, -1.603436596336368E+01, -2.370226598228062E+01, -1.010300395033665E+01,
2459629.500000000, A.D. 2022-Feb-19 00:00:00.0000, -1.287748311500766E+08,  6.908155535634086E+07,  2.975651896354052E+07, -1.558387963696937E+01, -2.395814127385368E+01, -1.021111975525755E+01,
2459630.500000000, A.D. 2022-Feb-20 00:00:00.0000, -1.301016483025731E+08,  6.700078630012761E+07,  2.886971645316602E+07, -1.512875046029605E+01, -2.420662329113810E+01, -1.031623614687743E+01,
2459631.500000000, A.D. 2022-Feb-21 00:00:00.0000, -1.313889464627662E+08,  6.489887025095330E+07,  2.797396248559691E+07, -1.466910956502348E+01, -2.444764541991652E+01, -1.041832496469611E+01,
2459632.500000000, A.D. 2022-Feb-22 00:00:00.0000, -1.326363413928857E+08,  6.277645437091244E+07,  2.706951958947224E+07, -1.420508763907096E+01, -2.468114755798386E+01, -1.051736641463883E+01,
2459633.500000000, A.D. 2022-Feb-23 00:00:00.0000, -1.338434606033146E+08,  6.063419112944011E+07,  2.615665216964951E+07, -1.373682253813164E+01, -2.490706665934971E+01, -1.061333281988234E+01,
2459634.500000000, A.D. 2022-Feb-24 00:00:00.0000, -1.350099433871734E+08,  5.847273825331417E+07,  2.523562696676642E+07, -1.326445174885093E+01, -2.512534285366565E+01, -1.070620162609698E+01,
2459635.500000000, A.D. 2022-Feb-25 00:00:00.0000, -1.361354409962394E+08,  5.629275875394754E+07,  2.430671256931034E+07, -1.278811440670692E+01, -2.533591501397815E+01, -1.079594970679038E+01,
2459636.500000000, A.D. 2022-Feb-26 00:00:00.0000, -1.372196167773865E+08,  5.409492086768267E+07,  2.337017948577487E+07, -1.230795072332152E+01, -2.553872279475704E+01, -1.088255746092416E+01,
2459637.500000000, A.D. 2022-Feb-27 00:00:00.0000, -1.382621462411487E+08,  5.187989799130211E+07,  2.242629993591230E+07, -1.182410196532528E+01, -2.573370665006478E+01, -1.096600417166626E+01,
2459638.500000000, A.D. 2022-Feb-28 00:00:00.0000, -1.392627171592409E+08,  4.964836874113762E+07,  2.147534782428040E+07, -1.133671084149343E+01, -2.592080670364874E+01, -1.104627071793504E+01,
2459639.500000000, A.D. 2022-Mar-01 00:00:00.0000, -1.402210297263686E+08,  4.740101663651446E+07,  2.051759904501240E+07, -1.084592280333571E+01, -2.609996684611196E+01, -1.112333414658259E+01,
2459640.500000000, A.D. 2022-Mar-02 00:00:00.0000, -1.411367966437094E+08,  4.513853030454700E+07,  1.955333091905424E+07, -1.035188161176286E+01, -2.627112950658712E+01, -1.119717686878795E+01,
2459641.500000000, A.D. 2022-Mar-03 00:00:00.0000, -1.420097430662037E+08,  4.286160311191697E+07,  1.858282258205162E+07, -9.854730820160155E+00, -2.643423818538519E+01, -1.126778099679213E+01,
2459642.500000000, A.D. 2022-Mar-04 00:00:00.0000, -1.428396065630692E+08,  4.057093328727064E+07,  1.760635463134737E+07, -9.354614837166991E+00, -2.658923843486892E+01, -1.133512855257358E+01,
2459643.500000000, A.D. 2022-Mar-05 00:00:00.0000, -1.436261371837193E+08,  3.826722368298965E+07,  1.662420918930600E+07, -8.851678086106361E+00, -2.673607772687883E+01, -1.139920213442540E+01,
2459644.500000000, A.D. 2022-Mar-06 00:00:00.0000, -1.443690974513081E+08,  3.595118164908610E+07,  1.563666977567062E+07, -8.346064989411104E+00, -2.687470432758311E+01, -1.145998694644517E+01,
2459645.500000000, A.D. 2022-Mar-07 00:00:00.0000, -1.450682623867941E+08,  3.362351885736489E+07,  1.464402126620047E+07, -7.837920175944650E+00, -2.700506996402672E+01, -1.151746620426649E+01,
2459646.500000000, A.D. 2022-Mar-08 00:00:00.0000, -1.457234194327815E+08,  3.128495119162425E+07,  1.364654986203317E+07, -7.327387169015675E+00, -2.712712773399592E+01, -1.157162294631852E+01,
2459647.500000000, A.D. 2022-Mar-09 00:00:00.0000, -1.463343685313066E+08,  2.893619822831369E+07,  1.264454350050499E+07, -6.814610570300734E+00, -2.724083250550170E+01, -1.162244368405968E+01,
